8	0.00728482	223.649	61.1977
8	0.00974658	163.077	32.2098
8	0.0127523	138.339	24.7132
8	0.0164634	129.894	21.8714
8	0.0210862	126.746	20.3031
8	0.0268231	123.159	18.931
7	0.0289326	124.786	9.17924
8	0.033912	117.063	17.9364
7	0.0342128	124.786	6.36183
7	0.0403734	117.406	1.34182
8	0.0427003	111.35	16.9872
7	0.0464876	110.295	4.83178
7	0.0523582	107.96	4.70736
8	0.0536019	104.183	15.8353
7	0.0580605	103.183	4.48253
7	0.0636125	101.439	4.39484
8	0.0659054	97.7077	14.5824
7	0.0690112	96.6892	4.17854
7	0.0743347	93.4152	4.04188
8	0.0787811	89.0866	13.3343
7	0.0795687	90.4365	3.90522
7	0.0847256	87.2162	3.76858
7	0.0898156	82.6273	3.55227
8	0.0923417	80.186	12.0893
7	0.0948726	79.6217	3.4422
7	0.099877	76.7234	3.4422
8	0.100989	74.8065	11.2115
7	0.104835	73.8788	3.17275
8	0.106721	72.0578	10.7637
8	0.108886	70.6038	10.5391
7	0.109752	70.578	3.03612
7	0.11468	67.6261	2.90335
8	0.116881	66.0162	9.87562
7	0.11955	65.1572	2.79324
8	0.122094	63.2259	9.52688
7	0.124436	62.1516	2.66053
8	0.124974	61.6199	9.23854
7	0.129294	59.629	2.55038
8	0.133167	57.6575	8.61382
13	0.133341	51.3895	19.6133
7	0.134127	56.5966	2.41775
13	0.13742	49.4641	14.4381
8	0.138514	55.2546	8.24518
7	0.138981	54.9596	2.36063
13	0.141452	47.7249	11.3567
8	0.141482	53.5309	8.01268
7	0.143814	52.9201	2.25452
13	0.14544	46.0347	8.58782
7	0.148671	50.317	2.14854
13	0.149386	44.498	6.78982
8	0.14994	49.6863	7.43342
13	0.153315	42.9376	5.26205
7	0.153509	47.7945	2.03828
8	0.156175	47.4918	7.05548
13	0.157182	41.4989	4.30835
7	0.158372	44.762	1.93236
8	0.158539	45.8759	6.87601
13	0.161036	40.1296	3.6754
7	0.16324	43.6081	1.84855
13	0.164855	38.7709	3.08472
8	0.167296	42.4334	6.34218
7	0.168113	41.7296	1.76913
13	0.16864	37.4846	2.6038
2.76	0.17224	57.3314	3.08452
13	0.172414	36.2234	2.1568
7	0.173013	40.0926	1.71623
8	0.175157	38.8585	5.92209
13	0.176134	35.0344	1.92061
8	0.176228	38.9296	5.83194
7	0.17792	37.6237	1.60589
13	0.179846	33.8713	1.70133
2.76	0.180721	50.9177	2.38364
7	0.182854	36.2524	1.55254
13	0.183529	32.7381	1.49895
8	0.185331	35.5361	5.34522
13	0.187183	31.6318	1.38087
7	0.187816	34.6181	1.48506
2.76	0.189051	44.6952	1.97595
13	0.19081	30.5687	1.26274
7	0.192785	32.3451	1.39024
13	0.19441	29.5407	1.15312
8	0.19462	32.6403	4.88296
8	0.194877	32.0666	4.91715
2.76	0.197241	41.9112	1.83185
7	0.197801	30.8879	1.33119
13	0.198006	28.5412	1.05195
13	0.201556	27.5632	0.959209
7	0.202825	29.42	1.26902
8	0.204089	29.7274	4.446
13	0.205102	26.616	0.874905
2.76	0.205301	39.8974	1.76975
7	0.207895	28.1695	1.21742
13	0.208625	25.7293	0.799026
13	0.212125	24.8566	0.72329
7	0.212993	26.8948	1.16582
2.76	0.21324	35.145	1.54532
8	0.213773	26.915	4.03347
8	0.214288	26.432	4.07451
13	0.215603	24.014	0.689363
7	0.218136	25.0056	1.08473
13	0.21908	23.212	0.647173
2.76	0.221066	32.3559	1.46233
13	0.222535	22.4208	0.613364
7	0.223305	23.9268	1.04155
8	0.223645	24.2932	3.64623
13	0.22595	21.6818	0.571199
7	0.228519	21.9463	0.957852
2.76	0.228785	28.5701	1.31512
13	0.229364	20.9436	0.537408
13	0.232779	20.2464	0.511979
8	0.233038	21.9964	3.37888
8	0.233757	21.8532	3.28256
7	0.233778	21.16	0.925223
13	0.236155	19.5685	0.478205
2.76	0.236405	27.6689	1.273
7	0.23908	19.837	0.868393
13	0.239513	18.9052	0.452785
13	0.242871	18.2799	0.419168
2.76	0.243931	24.8849	1.17273
8	0.244082	19.6036	2.94414
7	0.244443	18.4549	0.811576
13	0.246212	17.6634	0.393766
13	0.249536	17.0619	0.368515
7	0.249918	17.5855	0.773708
8	0.251255	17.9997	2.81448
2.76	0.251368	23.3645	1.2575
13	0.252842	16.4838	0.351446
8	0.254651	17.5594	2.63019
7	0.25533	16.6113	0.730603
13	0.256132	15.9323	0.334526
2.76	0.25872	20.938	1.04565
13	0.259424	15.3926	0.325918
7	0.26087	15.5943	0.686938
13	0.262682	14.8709	0.309002
8	0.265473	15.5306	2.33885
